benchmark,category,method,vector,enabled_experts,alpha,n,accuracy,precision,recall,f1,yes_rate,tp,tn,fp,fn,invalid,label_yes_accuracy,label_no_accuracy,baseline_accuracy,baseline_f1,baseline_yes_rate,baseline_fp,baseline_fn,delta_acc,delta_f1,delta_yes_rate,delta_fp,delta_fn,wrong_to_right,right_to_wrong,changed_pred,yes_to_no,no_to_yes,delta_margin_yes,delta_margin_no,delta_margin_all,vector_path,layers,k_heads,head_select,run_dir
mme_color,color,baseline,,"cat,attr,rel",,60,0.8666666666666667,0.8055555555555556,0.9666666666666667,0.8787878787878789,0.6,29,23,7,1,0,0.9666666666666667,0.7666666666666667,0.8666666666666667,0.8787878787878789,0.6,7,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,,5-25,64,norm,/home/huiwei/sy/halludata/data/outputs_attr_sanity_mme/runs/color/baseline
mme_color,color,steered,attr,attr,0.025,60,0.85,0.7837837837837838,0.9666666666666667,0.8656716417910447,0.6166666666666667,29,22,8,1,0,0.9666666666666667,0.7333333333333333,0.8666666666666667,0.8787878787878789,0.6,7,1,-0.01666666666666672,-0.013116236996834174,0.01666666666666672,1,0,0,1,1,0,1,0.0,0.004166666666666667,0.0020833333333333333,/home/huiwei/sy/halludata/data/gqa_typeaware_v1/steering/gqa_global_residual_vectors.pt,5-25,64,norm,/home/huiwei/sy/halludata/data/outputs_attr_sanity_mme/runs/color/attr_alpha0p025
mme_color,color,steered,attr,attr,0.05,60,0.85,0.7837837837837838,0.9666666666666667,0.8656716417910447,0.6166666666666667,29,22,8,1,0,0.9666666666666667,0.7333333333333333,0.8666666666666667,0.8787878787878789,0.6,7,1,-0.01666666666666672,-0.013116236996834174,0.01666666666666672,1,0,0,1,1,0,1,0.0375,0.008333333333333333,0.022916666666666665,/home/huiwei/sy/halludata/data/gqa_typeaware_v1/steering/gqa_global_residual_vectors.pt,5-25,64,norm,/home/huiwei/sy/halludata/data/outputs_attr_sanity_mme/runs/color/attr_alpha0p05
mme_color,color,steered,attr,attr,0.1,60,0.85,0.7837837837837838,0.9666666666666667,0.8656716417910447,0.6166666666666667,29,22,8,1,0,0.9666666666666667,0.7333333333333333,0.8666666666666667,0.8787878787878789,0.6,7,1,-0.01666666666666672,-0.013116236996834174,0.01666666666666672,1,0,0,1,1,0,1,0.075,0.025,0.05,/home/huiwei/sy/halludata/data/gqa_typeaware_v1/steering/gqa_global_residual_vectors.pt,5-25,64,norm,/home/huiwei/sy/halludata/data/outputs_attr_sanity_mme/runs/color/attr_alpha0p1
mme_color,color,steered,attr,attr,0.25,60,0.8333333333333334,0.7631578947368421,0.9666666666666667,0.8529411764705883,0.6333333333333333,29,21,9,1,0,0.9666666666666667,0.7,0.8666666666666667,0.8787878787878789,0.6,7,1,-0.033333333333333326,-0.025846702317290582,0.033333333333333326,2,0,0,2,2,0,2,0.2375,0.05416666666666667,0.14583333333333334,/home/huiwei/sy/halludata/data/gqa_typeaware_v1/steering/gqa_global_residual_vectors.pt,5-25,64,norm,/home/huiwei/sy/halludata/data/outputs_attr_sanity_mme/runs/color/attr_alpha0p25
mme_color,color,steered,attr,attr,0.5,60,0.85,0.7837837837837838,0.9666666666666667,0.8656716417910447,0.6166666666666667,29,22,8,1,0,0.9666666666666667,0.7333333333333333,0.8666666666666667,0.8787878787878789,0.6,7,1,-0.01666666666666672,-0.013116236996834174,0.01666666666666672,1,0,0,1,1,0,1,0.475,0.17916666666666667,0.32708333333333334,/home/huiwei/sy/halludata/data/gqa_typeaware_v1/steering/gqa_global_residual_vectors.pt,5-25,64,norm,/home/huiwei/sy/halludata/data/outputs_attr_sanity_mme/runs/color/attr_alpha0p5
mme_color,color,steered,attr,attr,0.75,60,0.8333333333333334,0.7631578947368421,0.9666666666666667,0.8529411764705883,0.6333333333333333,29,21,9,1,0,0.9666666666666667,0.7,0.8666666666666667,0.8787878787878789,0.6,7,1,-0.033333333333333326,-0.025846702317290582,0.033333333333333326,2,0,0,2,2,0,2,0.65,0.3375,0.49375,/home/huiwei/sy/halludata/data/gqa_typeaware_v1/steering/gqa_global_residual_vectors.pt,5-25,64,norm,/home/huiwei/sy/halludata/data/outputs_attr_sanity_mme/runs/color/attr_alpha0p75
mme_color,color,steered,attr,attr,1.0,60,0.8166666666666667,0.7317073170731707,1.0,0.8450704225352113,0.6833333333333333,30,19,11,0,0,1.0,0.6333333333333333,0.8666666666666667,0.8787878787878789,0.6,7,1,-0.050000000000000044,-0.033717456252667644,0.08333333333333337,4,-1,1,4,5,0,5,0.7583333333333333,0.6041666666666666,0.68125,/home/huiwei/sy/halludata/data/gqa_typeaware_v1/steering/gqa_global_residual_vectors.pt,5-25,64,norm,/home/huiwei/sy/halludata/data/outputs_attr_sanity_mme/runs/color/attr_alpha1p0
mme_color,color,steered,attr_res,attr_res,0.025,60,0.8666666666666667,0.8055555555555556,0.9666666666666667,0.8787878787878789,0.6,29,23,7,1,0,0.9666666666666667,0.7666666666666667,0.8666666666666667,0.8787878787878789,0.6,7,1,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.016666666666666666,-0.008333333333333333,-0.0125,/home/huiwei/sy/halludata/data/gqa_typeaware_v1/steering/gqa_global_residual_vectors.pt,5-25,64,norm,/home/huiwei/sy/halludata/data/outputs_attr_sanity_mme/runs/color/attr_res_alpha0p025
mme_color,color,steered,attr_res,attr_res,0.05,60,0.8666666666666667,0.8055555555555556,0.9666666666666667,0.8787878787878789,0.6,29,23,7,1,0,0.9666666666666667,0.7666666666666667,0.8666666666666667,0.8787878787878789,0.6,7,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0.008333333333333333,0.008333333333333333,0.008333333333333333,/home/huiwei/sy/halludata/data/gqa_typeaware_v1/steering/gqa_global_residual_vectors.pt,5-25,64,norm,/home/huiwei/sy/halludata/data/outputs_attr_sanity_mme/runs/color/attr_res_alpha0p05
