family,strategy,top_k,triple_intersection,triple_union,triple_jaccard,cat_attr_jaccard,cat_rel_jaccard,attr_rel_jaccard,cat_attr_restricted_cos,cat_rel_restricted_cos,attr_rel_restricted_cos
contrast_l0p25,ratio,16,0,48,0.0,0.0,0.0,0.0,0.5062999021809177,0.21855073529935237,0.2534825657257415
contrast_l0p5,ratio,16,0,48,0.0,0.0,0.0,0.0,0.2934236648357828,-0.0013533454429000818,0.11472789571195785
contrast_l0p75,hybrid,16,0,45,0.0,0.10344827586206896,0.0,0.0,-0.35976758168615547,-0.5813269211744756,-0.5170345653824706
contrast_l0p75,ratio,16,0,48,0.0,0.0,0.0,0.0,0.015322788858521836,-0.34036474639175174,-0.2733214826088231
contrast_l1,hybrid,16,0,48,0.0,0.0,0.0,0.0,-0.6241230069296269,-0.7896281287121473,-0.7316919375761567
contrast_l1,ratio,16,0,48,0.0,0.0,0.0,0.0,-0.6467034554923616,-0.8505505328486078,-0.7556877621060196
global_residual,hybrid,16,0,48,0.0,0.0,0.0,0.0,-0.6296214821507694,-0.7744379819538526,-0.7388678815516954
global_residual,ratio,16,0,48,0.0,0.0,0.0,0.0,-0.6682563575867063,-0.8440946995227545,-0.7514860094569082
headnorm_contrast_l0p25,ratio,16,0,48,0.0,0.0,0.0,0.0,0.3922224432133936,0.1271334607909165,0.15734963843811317
headnorm_contrast_l0p5,hybrid,16,0,44,0.0,0.14285714285714285,0.0,0.0,-0.0967755168617662,-0.3013102091501176,-0.28092300045960306
headnorm_contrast_l0p5,ratio,16,0,48,0.0,0.0,0.0,0.0,0.026824030817978198,-0.2835025837104153,-0.2568092602142506
headnorm_contrast_l0p75,hybrid,16,0,46,0.0,0.06666666666666667,0.0,0.0,-0.4645912328944646,-0.5939447172685502,-0.6105765149352946
headnorm_contrast_l0p75,ratio,16,0,48,0.0,0.0,0.0,0.0,-0.37203796898740027,-0.6488933737905316,-0.5909997657942871
headnorm_contrast_l0p75,specificity_cos,16,0,45,0.0,0.10344827586206896,0.0,0.0,-0.4299361335318549,-0.6281747883795482,-0.5957889201658257
headnorm_contrast_l1,hybrid,16,0,48,0.0,0.0,0.0,0.0,-0.6361976315437808,-0.7474373118332465,-0.7279977695578058
headnorm_contrast_l1,ratio,16,0,48,0.0,0.0,0.0,0.0,-0.600124147987586,-0.8522171578041265,-0.732313549805144
headnorm_contrast_l1,specificity_cos,16,0,45,0.0,0.10344827586206896,0.0,0.0,-0.5568145124575675,-0.7189123531001865,-0.679449184338293
pca_remove1,hybrid,16,0,48,0.0,0.0,0.0,0.0,-0.6259590443651167,-0.769583945054331,-0.6961907480109245
pca_remove1,ratio,16,0,48,0.0,0.0,0.0,0.0,-0.6904450340385603,-0.839367336697564,-0.7385926422334677
pca_remove2,ratio,16,0,42,0.0,0.18518518518518517,0.03225806451612903,0.0,-0.9999999112647454,0.9999981240209734,-0.9999971428253641
pca_remove3,ratio,16,0,48,0.0,0.0,0.0,0.0,0.06315737292355902,0.014759735670519697,0.047867863218248645
pca_remove5,ratio,16,0,48,0.0,0.0,0.0,0.0,0.06315737292355902,0.014759735670519697,0.047867863218248645
raw,ratio,16,0,48,0.0,0.0,0.0,0.0,0.7227491404748964,0.5038607585511979,0.5388420246623239
headnorm_contrast_l0p5,specificity_cos,16,1,42,0.023809523809523808,0.18518518518518517,0.03225806451612903,0.03225806451612903,-0.09472014328468598,-0.3203180839677977,-0.2836091129312274
headnorm_contrast_l0p25,contrast_norm,16,1,41,0.024390243902439025,0.14285714285714285,0.06666666666666667,0.06666666666666667,0.3357769636666983,-0.02396609475572348,0.09547481480194916
headnorm_contrast_l0p5,contrast_norm,16,1,41,0.024390243902439025,0.14285714285714285,0.06666666666666667,0.06666666666666667,-0.0010921227213789803,-0.40934618679288587,-0.28962587422850344
headnorm_contrast_l0p75,contrast_norm,16,1,41,0.024390243902439025,0.14285714285714285,0.06666666666666667,0.06666666666666667,-0.3003087458084545,-0.6742711797377926,-0.5796946263804449
headnorm_contrast_l0p75,norm,16,1,41,0.024390243902439025,0.14285714285714285,0.06666666666666667,0.06666666666666667,-0.3003087458084545,-0.6742711797377926,-0.5796946263804449
headnorm_contrast_l1,contrast_norm,16,1,41,0.024390243902439025,0.14285714285714285,0.06666666666666667,0.06666666666666667,-0.41956182505982775,-0.7320074579926722,-0.6593654197135331
headnorm_contrast_l1,norm,16,1,41,0.024390243902439025,0.14285714285714285,0.06666666666666667,0.06666666666666667,-0.41956182505982775,-0.7320074579926722,-0.6593654197135331
pca_remove2,specificity_cos,16,1,31,0.03225806451612903,0.03225806451612903,1.0,0.03225806451612903,-0.9999999175667212,0.9999949792076437,-0.9999983032565355
pca_remove3,hybrid,16,2,39,0.05128205128205128,0.10344827586206896,0.06666666666666667,0.23076923076923078,-0.16210512269589517,-0.2758794418192294,-0.030978146585303817
pca_remove5,hybrid,16,2,39,0.05128205128205128,0.10344827586206896,0.06666666666666667,0.23076923076923078,-0.16210512269589517,-0.2758794418192294,-0.030978146585303817
contrast_l0p5,hybrid,16,2,36,0.05555555555555555,0.3333333333333333,0.14285714285714285,0.06666666666666667,0.05093544610957334,-0.24477925192233918,-0.1474950963607503
headnorm_contrast_l0p25,hybrid,16,3,37,0.08108108108108109,0.3333333333333333,0.10344827586206896,0.10344827586206896,0.2846654712902663,0.07280749401428903,0.08760774681223461
headnorm_contrast_l0p25,specificity_cos,16,3,37,0.08108108108108109,0.28,0.10344827586206896,0.14285714285714285,0.2936557752993436,0.06438361693546771,0.08172391559487359
